Accession Number,Author,Title,Edition,Volume,Pages,Publisher,Year,ISBN
FIC 000001,Erin Bow,Plain Kate,,,"314",Scholastic Inc.,2012,978-0-545-16665-2
FIC 000002,Andrew Sean Greer,Less,,,"272",Lee Boudreaux Books,2017,978-0-316-31612-5
FIC 000003,Han Kang,Greek Lessons,,,"192",Hogarth,2011,978-0593595275
FIC 000004,J.K. Rowling,Harry Potter and the Sorcerer's Stone,,,"320",Scholastic Inc.,1997,978-0590353427
FIC 000005,J.K. Rowling,Harry Potter and the Chamber of Secrets,,,"352",Scholastic Inc.,1998,978-1338878936
FIC 000006,J.K. Rowling,Harry Potter and the Prisoner of Azkaban,,,"435",Scholastic Inc.,1999,978-0439136358
FIC 000007,Gege Akutami,Jujutsu Kaisen Vol. 4,,4,199,Shueisha's Weekly Shōnen Jump,2020,978-1-9747-2025-5
FIC 000008,Julia Quinn,An Offer from a Gentleman: Bridgerton,,,480,Avon Books,2021,9780063138643
FIC 000009,Alison Davies,Be More Cat: Life Lessons from Our Feline Friends,,,142,Quadrille,2017,9781849499521
FIC 000010,Tatsuya Endo,Spy x Family Vol. 5,1st,5,200,Shueisha,2021,978-1974718160
FIC 000011,Chimamanda Ngozi Adichie,Half of a Yellow Sun,,,"448",Knopf,2006,978-1400044160
FIC 000012,Haruki Murakami,Norwegian Wood,,,"296",Vintage International,2000,978-0375704024
FIC 000013,Margaret Atwood,The Handmaid's Tale,,,"311",Houghton Mifflin Harcourt,1985,978-0547345666
FIC 000014,Colleen Hoover,It Ends with Us,,,"384",Atria Books,2016,978-1501110368
FIC 000015,George Orwell,1984,,,"328",Harcourt Brace Jovanovich,1949,978-0451524935
FIC 000016,Kazuo Ishiguro,Never Let Me Go,,,"288",Knopf,2005,978-1400078776
FIC 000017,Yuval Noah Harari,Sapiens: A Brief History of Humankind,,,"443",Harper,2015,978-0062316097
FIC 000018,Michelle Zauner,Crying in H Mart,,,"256",Knopf,2021,978-0525657743
FIC 000019,F. Scott Fitzgerald,The Great Gatsby,,,"180",Charles Scribner's Sons,1925,978-0743273565
FIC 000020,Suzanne Collins,The Hunger Games,,,"384",Scholastic Inc.,2008,978-0439023481
FIC 000021,Emily Henry,Beach Read,,,"384",Berkley,2020,978-1984806734
FIC 000022,Katherine Applegate,The One and Only Ivan,,,"336",HarperCollins,2012,978-0061992254
FIC 000023,Gege Akutami,Jujutsu Kaisen Vol. 5,,5,192,Shueisha's Weekly Shōnen Jump,2020,978-1974719235
FIC 000024,Tatsuya Endo,Spy x Family Vol. 6,1st,6,208,Shueisha,2021,978-1974725137
FIC 000025,Rupi Kaur,Milk and Honey,,,"208",Andrews McMeel Publishing,2015,978-1449474256
FIC 000026,Louise Penny,Still Life: Chief Inspector Armand Gamache Novel,,,"306",St. Martin's Press,2005,978-0312541538
FIC 000027,Brandon Sanderson,Mistborn: The Final Empire,,,"541",Tor Books,2006,978-0765311788
FIC 000028,Rick Riordan,The Lightning Thief,,,"377",Disney-Hyperion,2005,978-0786838653
FIC 000029,Rick Riordan,The Sea of Monsters,,,"279",Disney-Hyperion,2006,978-1423103349
FIC 000030,Victor Hugo,Les Misérables,Unabridged,,1463,Signet Classics,1862,978-0451419439
FIC 000031,John Green,The Fault in Our Stars,,,"313",Dutton Books,2012,978-0525478812
FIC 000032,Paulo Coelho,The Alchemist,,,"208",HarperOne,1988,978-0061122415
FIC 000033,Neil Gaiman,Coraline,,,"162",HarperCollins,2002,978-0061139376
FIC 000034,Elizabeth Acevedo,The Poet X,,,"368",HarperTeen,2018,978-0062662804
FIC 000035,Marjane Satrapi,Persepolis: The Story of a Childhood,1st,,153,Pantheon,2000,978-0375714573
FIC 000036,Frank Herbert,Dune,,,"688",Chilton Books,1965,978-0441172719
FIC 000037,Robert Jordan,The Eye of the World,,,"782",Tor Books,1990,978-0812511819
FIC 000038,Kristin Hannah,The Nightingale,,,"564",St. Martin's Press,2015,978-0312577223
FIC 000039,Sarah J. Maas,A Court of Thorns and Roses,1st,,432,Bloomsbury,2015,978-1619634442
FIC 000040,Leigh Bardugo,Six of Crows,,,"465",Henry Holt and Co.,2015,978-1627792127
FIC 000041,V.E. Schwab,A Darker Shade of Magic,,,"400",Tor Books,2015,978-0765376466
FIC 000042,Cassandra Clare,City of Bones,,,"485",Margaret K. McElderry Books,2007,978-1416914280
FIC 000043,J.R.R. Tolkien,The Hobbit,,,"310",George Allen & Unwin,1937,978-0547928227
FIC 000044,Oscar Wilde,The Picture of Dorian Gray,,,"254",Ward, Lock & Co.,1890,978-0486278070
FIC 000045,Ernest Cline,Ready Player One,,,"384",Crown Publishing Group,2011,978-0307887443
FIC 000046,Mary Shelley,Frankenstein,1st,,280,Lackington, Hughes, Harding, Mavor & Jones,1818,978-0486282114
FIC 000047,Jane Austen,Pride and Prejudice,,,"279",T. Egerton,1813,978-1503290563
FIC 000048,Charlotte Brontë,Jane Eyre,,,"500",Smith, Elder & Co.,1847,978-0141441146
FIC 000049,Markus Zusak,The Book Thief,,,"552",Knopf,2005,978-0375842207
FIC 000050,Stephanie Meyer,Twilight,,,"498",Little, Brown and Company,2005,978-0316015844
FIC 000051,Agatha Christie,The Murder of Roger Ackroyd,,,"256",HarperCollins,1926,978-0062073501
FIC 000052,Stephen King,The Shining,,,"659",Doubleday,1977,978-0307743657
FIC 000053,Isaac Asimov,Foundation,,,"296",Gnome Press,1951,978-0553293357
FIC 000054,Ray Bradbury,Fahrenheit 451,,,"249",Ballantine Books,1953,978-1451673319
FIC 000055,Tolkien,The Fellowship of the Ring,1st,,423,Houghton Mifflin,1954,978-0618574940
FIC 000056,Arthur Conan Doyle,Sherlock Holmes: The Hound of the Baskervilles,,,"224",George Newnes,1902,978-0451528018
FIC 000057,Cheryl Strayed,Wild: From Lost to Found on the Pacific Crest Trail,,,"315",Alfred A. Knopf,2012,978-0307476074
